question,user_answer,total_selected,total_correct,total_responses,pct_selected,pct_correct,correct_answer
"The author mentions ""reclined seats, extended table trays, and briefcases"" in paragraph 1 in order to _____________.",list ways in which safety can be threatened in times of emergency,84,84,226,0.372,1,
"The author mentions ""reclined seats, extended table trays, and briefcases"" in paragraph 1 in order to _____________.",I don't know,31,0,226,0.137,0,
"The author mentions ""reclined seats, extended table trays, and briefcases"" in paragraph 1 in order to _____________.",suggest ways in which panic can be prevented during evacuation,32,0,226,0.142,0,
The author mentions Gisele Bunchen in paragraph 3 to show ____________.,how well-known Havaianas are,100,100,190,0.526,1,how well-known Havaianas are
The author mentions Gisele Bunchen in paragraph 3 to show ____________.,I don't know,22,0,190,0.116,0,
The author mentions Gisele Bunchen in paragraph 3 to show ____________.,that Havaianas are exclusively for Gisele Bunchen,15,0,190,0.079,0,
The author mentions Gisele Bunchen in paragraph 3 to show ____________.,that models wear flip-flops too,32,0,190,0.168,0,
The author mentions Gisele Bunchen in paragraph 3 to show ____________.,the wide variety of Brazil's exports,21,0,190,0.111,0,
The author mentions the new levy in order to ____________.,discuss details of a new Medicare tax,26,0,190,0.137,0,explain why many sports memorabilia are on the market
The author mentions the new levy in order to ____________.,discuss when the IRS will clarify rules surrounding the new levy,33,0,190,0.174,0,
The author mentions the new levy in order to ____________.,explain who will not be affected by the new law,18,0,190,0.095,0,
The author mentions the new levy in order to ____________.,explain why many sports memorabilia are on the market,84,84,190,0.442,1,
The author mentions the new levy in order to ____________.,I don't know,29,0,190,0.153,0,
The book is exciting; it has been a bestseller for years now.,he,37,0,218,0.17,0,it
The book is exciting; it has been a bestseller for years now.,it,132,132,218,0.606,1,
The book is exciting; it has been a bestseller for years now.,I don't know,16,0,218,0.073,0,
The book is exciting; it has been a bestseller for years now.,she,15,0,218,0.069,0,
The book is exciting; it has been a bestseller for years now.,they,18,0,218,0.083,0,
The boss requested too much food for the meeting.,a food,99,0,445,0.222,0,food
The boss requested too much food for the meeting.,food,190,190,445,0.427,1,
The boss requested too much food for the meeting.,foods,53,0,445,0.119,0,
The boss requested too much food for the meeting.,I don't know,58,0,445,0.13,0,
The boss requested too much food for the meeting.,the food,45,0,445,0.101,0,
The boy's painting is very colorful.,boy's painting,201,201,274,0.734,1,boy's painting
The boy's painting is very colorful.,boy's paintings,15,0,274,0.055,0,
The boy's painting is very colorful.,boys' painting,18,0,274,0.066,0,
The boy's painting is very colorful.,boys' paintings,21,0,274,0.077,0,
The boy's painting is very colorful.,I don't know,19,0,274,0.069,0,
The cashier does NOT ask for a ____________.,address,10,0,202,0.05,0,credit card number
The cashier does NOT ask for a ____________.,credit card number,130,130,202,0.644,1,
The cashier does NOT ask for a ____________.,I don't know,5,0,202,0.025,0,
The cashier does NOT ask for a ____________.,payment method,47,0,202,0.233,0,
The cashier does NOT ask for a ____________.,phone number,10,0,202,0.05,0,
The children were permitted to invite whomever they wanted to attend the celebration.,he or she who,14,0,202,0.069,0,whomever
The children were permitted to invite whomever they wanted to attend the celebration.,he or she whom,14,0,202,0.069,0,
The children were permitted to invite whomever they wanted to attend the celebration.,I don't know,17,0,202,0.084,0,
The children were permitted to invite whomever they wanted to attend the celebration.,whoever,43,0,202,0.213,0,
The children were permitted to invite whomever they wanted to attend the celebration.,whomever,114,114,202,0.564,1,
The contest was overseen by director Ridley Scott.,I don't know,19,0,190,0.1,0,was overseen
The contest was overseen by director Ridley Scott.,oversaw,16,0,190,0.084,0,
The contest was overseen by director Ridley Scott.,overseeing,15,0,190,0.079,0,
The contest was overseen by director Ridley Scott.,was overseeing,27,0,190,0.142,0,
The contest was overseen by director Ridley Scott.,was overseen,113,113,190,0.595,1,
"The court's decision on online privacy, which cannot be appealed against, triggered a wave of internet alarm.",I don't know,14,0,202,0.069,0,which
"The court's decision on online privacy, which cannot be appealed against, triggered a wave of internet alarm.",what,38,0,202,0.188,0,
"The court's decision on online privacy, which cannot be appealed against, triggered a wave of internet alarm.",where,25,0,202,0.124,0,
"The court's decision on online privacy, which cannot be appealed against, triggered a wave of internet alarm.",which,88,88,202,0.436,1,
"The court's decision on online privacy, which cannot be appealed against, triggered a wave of internet alarm.",who,37,0,202,0.183,0,
The culprit refused to say to whom the video belonged.,I don't know,26,0,226,0.115,0,to whom
The culprit refused to say to whom the video belonged.,to who,39,0,226,0.173,0,
The culprit refused to say to whom the video belonged.,to whom,78,78,226,0.345,1,
The culprit refused to say to whom the video belonged.,who,44,0,226,0.195,0,
The culprit refused to say to whom the video belonged.,whom,39,0,226,0.173,0,
The day is beautiful.,beautiful,297,297,396,0.75,1,beautiful
The day is beautiful.,beautifully,23,0,396,0.058,0,
The day is beautiful.,beautify,38,0,396,0.096,0,
The day is beautiful.,beauty,24,0,396,0.061,0,
The day is beautiful.,I don't know,14,0,396,0.035,0,
The dentist called for the next patient.,called,152,152,445,0.342,1,called
The dentist called for the next patient.,calling,120,0,445,0.27,0,
The dentist called for the next patient.,is called,72,0,445,0.162,0,
The dentist called for the next patient.,I don't know,62,0,445,0.139,0,
The dentist called for the next patient.,was called,39,0,445,0.088,0,
The doctor studied the results carefully.,is studied,39,0,202,0.193,0,studied
The doctor studied the results carefully.,is studied by,20,0,202,0.099,0,
The doctor studied the results carefully.,I don't know,7,0,202,0.035,0,
The doctor studied the results carefully.,studied,121,121,202,0.599,1,
The doctor studied the results carefully.,studied by,15,0,202,0.074,0,
The employee most likely asked if the computer was purchased at the store because ____________.,it's a different price to get a hard drive installed if the computer was bought there.,160,160,274,0.584,1,it's a different price to get a hard drive installed if the computer was bought there.
The employee most likely asked if the computer was purchased at the store because ____________.,it's easier to install a hard drive if the computer was bought there.,29,0,274,0.106,0,
The employee most likely asked if the computer was purchased at the store because ____________.,I don't know,33,0,274,0.12,0,
The employee most likely asked if the computer was purchased at the store because ____________.,she is not allowed to install a hard drive it if the computer was not bought there.,37,0,274,0.135,0,
The employee most likely asked if the computer was purchased at the store because ____________.,they don't carry hard drives for computers that were not bought there.,15,0,274,0.055,0,
"The employer did not give fair wages, nor did he agree to amend his ways.",and,37,0,274,0.135,0,nor
"The employer did not give fair wages, nor did he agree to amend his ways.",I don't know,17,0,274,0.062,0,
"The employer did not give fair wages, nor did he agree to amend his ways.",nor,169,169,274,0.617,1,
"The employer did not give fair wages, nor did he agree to amend his ways.",or,26,0,274,0.095,0,
"The employer did not give fair wages, nor did he agree to amend his ways.",so,25,0,274,0.091,0,
The first paragraph exists to ____________.,complain about the lack of durability in some gadgets,26,0,190,0.137,0,introduce a new type of gadget that may help patients
The first paragraph exists to ____________.,discuss the many changes taking place inside our bodies,19,0,190,0.1,0,
The first paragraph exists to ____________.,explain what exactly patients want,23,0,190,0.121,0,
The first paragraph exists to ____________.,introduce a new type of gadget that may help patients,97,97,190,0.511,1,
The first paragraph exists to ____________.,I don't know,25,0,190,0.132,0,
The furnished apartment was under inspection all week because the former teI don't knowts had apparently gotten their furniture from a toxic area.,furnish,23,0,202,0.114,0,furnished
The furnished apartment was under inspection all week because the former teI don't knowts had apparently gotten their furniture from a toxic area.,furnished,95,95,202,0.47,1,
The furnished apartment was under inspection all week because the former teI don't knowts had apparently gotten their furniture from a toxic area.,furnisher,32,0,202,0.158,0,
The furnished apartment was under inspection all week because the former teI don't knowts had apparently gotten their furniture from a toxic area.,furnishing,37,0,202,0.183,0,
The furnished apartment was under inspection all week because the former teI don't knowts had apparently gotten their furniture from a toxic area.,I don't know,15,0,202,0.074,0,
The guests were encouraged to recommend whoever seemed qualified for the new position.,I don't know,240,0,240,1,0,whoever
The human body isn't designed to process this form of sugar at such high levels.,doesn't design,63,0,226,0.279,0,isn't designed to
The human body isn't designed to process this form of sugar at such high levels.,doesn't design to,33,0,226,0.146,0,
The human body isn't designed to process this form of sugar at such high levels.,isn't designed,25,0,226,0.111,0,
The human body isn't designed to process this form of sugar at such high levels.,isn't designed to,77,77,226,0.341,1,
The human body isn't designed to process this form of sugar at such high levels.,I don't know,28,0,226,0.124,0,
The leader will give orders either today or tomorrow.,both,35,0,190,0.184,0,either
The leader will give orders either today or tomorrow.,either,89,89,190,0.468,1,
The leader will give orders either today or tomorrow.,in,20,0,190,0.105,0,
The leader will give orders either today or tomorrow.,I don't know,12,0,190,0.063,0,
The leader will give orders either today or tomorrow.,on,34,0,190,0.179,0,
The main idea of this passage is in paragraph ____________.,1,79,79,226,0.35,1,1
The main idea of this passage is in paragraph ____________.,2,37,0,226,0.164,0,
The main idea of this passage is in paragraph ____________.,3,15,0,226,0.066,0,
The main idea of this passage is in paragraph ____________.,4,62,0,226,0.274,0,
The main idea of this passage is in paragraph ____________.,I don't know,33,0,226,0.146,0,
"The main opposition, the Socialist Party, described the draft budget as ""brutal.""",as,128,128,274,0.467,1,as
"The main opposition, the Socialist Party, described the draft budget as ""brutal.""",by,56,0,274,0.204,0,
"The main opposition, the Socialist Party, described the draft budget as ""brutal.""",for,25,0,274,0.091,0,
"The main opposition, the Socialist Party, described the draft budget as ""brutal.""",like,45,0,274,0.164,0,
"The main opposition, the Socialist Party, described the draft budget as ""brutal.""",I don't know,20,0,274,0.073,0,
The man does NOT say that physical activity helped him learn how to ____________.,be hardworking,33,0,218,0.151,0,be more independent
The man does NOT say that physical activity helped him learn how to ____________.,be more independent,76,76,218,0.349,1,
The man does NOT say that physical activity helped him learn how to ____________.,fail,33,0,218,0.151,0,
The man does NOT say that physical activity helped him learn how to ____________.,I don't know,36,0,218,0.165,0,
The man does NOT say that physical activity helped him learn how to ____________.,work collaboratively,40,0,218,0.183,0,
The man’s main purpose is to ____________.,describe his role in the show.,29,0,202,0.144,0,introduce a show he plays a part in.
The man’s main purpose is to ____________.,introduce a show he plays a part in.,100,100,202,0.495,1,
The man’s main purpose is to ____________.,introduce the theater he works for.,32,0,202,0.158,0,
The man’s main purpose is to ____________.,I don't know,21,0,202,0.104,0,
The man’s main purpose is to ____________.,retell the Cinderella story he once read.,20,0,202,0.099,0,
The movie is very good; it has been popular in English for a long time now.,he,10,0,202,0.05,0,it
The movie is very good; it has been popular in English for a long time now.,it,144,144,202,0.713,1,
The movie is very good; it has been popular in English for a long time now.,I don't know,6,0,202,0.03,0,
The movie is very good; it has been popular in English for a long time now.,she,23,0,202,0.114,0,
The movie is very good; it has been popular in English for a long time now.,they,19,0,202,0.094,0,
The multicolored container was under inspection for weeks before being thrown out for safety purposes.,I don't know,240,0,240,1,0,multicolored
The owner most likely hired security guards to ____________.,enjoy the artwork,25,0,445,0.056,0,protect the artwork
The owner most likely hired security guards to ____________.,I don't know,102,0,445,0.229,0,
The owner most likely hired security guards to ____________.,protect the artwork,239,239,445,0.537,1,
The owner most likely hired security guards to ____________.,protect the neighborhood,45,0,445,0.101,0,
The owner most likely hired security guards to ____________.,spray-paint the building,34,0,445,0.076,0,
The patient mailed the letter to the president.,is mailed,82,0,396,0.207,0,mailed
The patient mailed the letter to the president.,mailed,162,162,396,0.409,1,
The patient mailed the letter to the president.,mailing,39,0,396,0.098,0,
The patient mailed the letter to the president.,I don't know,80,0,396,0.202,0,
The patient mailed the letter to the president.,was mailed,33,0,396,0.083,0,
The phone call was most likely made ____________.,at 10 PM,18,0,226,0.08,0,on Monday
The phone call was most likely made ____________.,at 4 AM,6,0,226,0.027,0,
The phone call was most likely made ____________.,I don't know,26,0,226,0.115,0,
The phone call was most likely made ____________.,on Monday,158,158,226,0.699,1,
The phone call was most likely made ____________.,on Saturday,18,0,226,0.08,0,
The political debates helped viewers gain insight into what was worrying each party the most.,I don't know,190,0,190,1,0,into
The pressure is __________.,above her left eye,42,0,396,0.106,0,behind her right eye
The pressure is __________.,above her right eye,89,0,396,0.225,0,
The pressure is __________.,behind her left eye,46,0,396,0.116,0,
The pressure is __________.,behind her right eye,147,147,396,0.371,1,
The pressure is __________.,I don't know,72,0,396,0.182,0,
"The problem appears to be caused by UltraMist's spray valve, which is over-applying the product, Energizer said in a statement.",appears to be,86,86,190,0.453,1,appears to be
"The problem appears to be caused by UltraMist's spray valve, which is over-applying the product, Energizer said in a statement.",being appeared to,36,0,190,0.189,0,
"The problem appears to be caused by UltraMist's spray valve, which is over-applying the product, Energizer said in a statement.",I don't know,20,0,190,0.105,0,
"The problem appears to be caused by UltraMist's spray valve, which is over-applying the product, Energizer said in a statement.",to appear being,26,0,190,0.137,0,
"The problem appears to be caused by UltraMist's spray valve, which is over-applying the product, Energizer said in a statement.",to be appearing,22,0,190,0.116,0,
The purpose of Stephen's visit is to __________.,I don't know,32,0,190,0.168,0,see his friend who goes to to school in Indiana
The purpose of Stephen's visit is to __________.,see all of the Midwest since he's never been there before,30,0,190,0.158,0,
The purpose of Stephen's visit is to __________.,see his friend who goes to to school in Indiana,62,62,190,0.326,1,
The purpose of Stephen's visit is to __________.,see his friend who teaches at a school in Indiana,25,0,190,0.132,0,
The purpose of Stephen's visit is to __________.,tour Indiana with his friend,41,0,190,0.216,0,
The purpose of paragraph 4 is to ____________.,add on to Tim Cook's statement,30,0,240,0.125,0,suggest that the iWatch may never be made
The purpose of paragraph 4 is to ____________.,hint that the iWatch will be made in Japan,21,0,240,0.088,0,
The purpose of paragraph 4 is to ____________.,I don't know,34,0,240,0.142,0,
The purpose of paragraph 4 is to ____________.,suggest that the iWatch may never be made,96,96,240,0.4,1,
The purpose of paragraph 4 is to ____________.,support rumors that suggest Apple is developing the iWatch,59,0,240,0.246,0,
The search giant now has brought its all-seeing eyes — mounted for the first time on a backpack — down into the Grand Canyon.,has mounted,18,0,190,0.095,0,mounted
The search giant now has brought its all-seeing eyes — mounted for the first time on a backpack — down into the Grand Canyon.,mount,76,0,190,0.4,0,
The search giant now has brought its all-seeing eyes — mounted for the first time on a backpack — down into the Grand Canyon.,mounted,51,51,190,0.268,1,
The search giant now has brought its all-seeing eyes — mounted for the first time on a backpack — down into the Grand Canyon.,mounts,19,0,190,0.1,0,
The search giant now has brought its all-seeing eyes — mounted for the first time on a backpack — down into the Grand Canyon.,I don't know,26,0,190,0.137,0,
The settlement still must be agreed to by town officials.,I don't know,190,0,190,1,0,to
"The six large outbreaks of twisters, which were especially deadly this year, can't be attributed to global warming.",I don't know,226,0,226,1,0,to
The skater managed to pull off the most complex stunt during the competition.,I don't know,202,0,202,1,0,off
The stadium must remain closed until there are no safety risks to the public attending events at the venue.,at,143,143,274,0.522,1,at
The stadium must remain closed until there are no safety risks to the public attending events at the venue.,in,52,0,274,0.19,0,
The stadium must remain closed until there are no safety risks to the public attending events at the venue.,I don't know,22,0,274,0.08,0,
The stadium must remain closed until there are no safety risks to the public attending events at the venue.,on,25,0,274,0.091,0,
The stadium must remain closed until there are no safety risks to the public attending events at the venue.,to,32,0,274,0.117,0,
The staff praised the members of the men’s basketball team for accepting their unfaithful coach’s apology.,I don't know,226,0,226,1,0,their
The system tracks student progress and is meant to tailor lessons to each student's level.,I don't know,240,0,240,1,0,meant
The teachers would have been eligible to win the university-wide award if any of their students nominated them.,I don't know,218,0,218,1,0,their
The thousands of guests quickly packed the San Diego Convention Center for the sold out Comic-Con.,I don't know,9,0,202,0.045,0,quickly
The thousands of guests quickly packed the San Diego Convention Center for the sold out Comic-Con.,quick,49,0,202,0.243,0,
The thousands of guests quickly packed the San Diego Convention Center for the sold out Comic-Con.,quicken,12,0,202,0.059,0,
The thousands of guests quickly packed the San Diego Convention Center for the sold out Comic-Con.,quicker,4,0,202,0.02,0,
The thousands of guests quickly packed the San Diego Convention Center for the sold out Comic-Con.,quickly,128,128,202,0.634,1,
The two moved in together and tabloids soon began predicting everything from marriage to babies for the new couple.,in,82,82,274,0.299,1,in
The two moved in together and tabloids soon began predicting everything from marriage to babies for the new couple.,I don't know,19,0,274,0.069,0,
The two moved in together and tabloids soon began predicting everything from marriage to babies for the new couple.,of,137,0,274,0.5,0,
The two moved in together and tabloids soon began predicting everything from marriage to babies for the new couple.,off,15,0,274,0.055,0,
The two moved in together and tabloids soon began predicting everything from marriage to babies for the new couple.,on,21,0,274,0.077,0,
"The way bilinguals ""performed"" in this study is most like the way ____________ would perform.",actors,18,0,202,0.089,0,students
"The way bilinguals ""performed"" in this study is most like the way ____________ would perform.",I don't know,23,0,202,0.114,0,
"The way bilinguals ""performed"" in this study is most like the way ____________ would perform.",scientists,22,0,202,0.109,0,
"The way bilinguals ""performed"" in this study is most like the way ____________ would perform.",singers,15,0,202,0.074,0,
"The way bilinguals ""performed"" in this study is most like the way ____________ would perform.",students,124,124,202,0.614,1,
"The word ""They"" in paragraph 2 refers to ____________.",Don Larsen’s grandchildren,42,42,190,0.221,1,Don Larsen’s grandchildren
"The word ""They"" in paragraph 2 refers to ____________.",NCAA championship rings,48,0,190,0.253,0,
"The word ""They"" in paragraph 2 refers to ____________.",I don't know,30,0,190,0.158,0,
"The word ""They"" in paragraph 2 refers to ____________.",proceeds,46,0,190,0.242,0,
"The word ""They"" in paragraph 2 refers to ____________.",the Yankee pinstripes,24,0,190,0.126,0,
"The word ""generate"" in paragraph 3 is closest in meaning to ____________.",accomplish,5,0,190,0.026,0,produce
"The word ""generate"" in paragraph 3 is closest in meaning to ____________.",achieve,25,0,190,0.132,0,
"The word ""generate"" in paragraph 3 is closest in meaning to ____________.",find,14,0,190,0.074,0,
"The word ""generate"" in paragraph 3 is closest in meaning to ____________.",I don't know,22,0,190,0.116,0,
"The word ""generate"" in paragraph 3 is closest in meaning to ____________.",produce,124,124,190,0.653,1,
"The word ""penalty"" in paragraph 3 is closest in meaning to ____________.",difficulty,90,0,396,0.227,0,fine
"The word ""penalty"" in paragraph 3 is closest in meaning to ____________.",fine,104,104,396,0.263,1,
"The word ""penalty"" in paragraph 3 is closest in meaning to ____________.",foul,40,0,396,0.101,0,
"The word ""penalty"" in paragraph 3 is closest in meaning to ____________.",I don't know,102,0,396,0.258,0,
"The word ""penalty"" in paragraph 3 is closest in meaning to ____________.",punishment,60,0,396,0.152,0,
"The word ""their"" in paragraph 4 refers to ____________.",bodily fluids,53,0,190,0.279,0,devices
"The word ""their"" in paragraph 4 refers to ____________.",devices,65,65,190,0.342,1,
"The word ""their"" in paragraph 4 refers to ____________.",mice,31,0,190,0.163,0,
"The word ""their"" in paragraph 4 refers to ____________.",I don't know,21,0,190,0.111,0,
"The word ""their"" in paragraph 4 refers to ____________.",people,20,0,190,0.105,0,
The word ‘remote’ is closest in meaning to ____________.,controller,17,0,274,0.062,0,distant
The word ‘remote’ is closest in meaning to ____________.,distant,154,154,274,0.562,1,
The word ‘remote’ is closest in meaning to ____________.,fragile,30,0,274,0.109,0,
The word ‘remote’ is closest in meaning to ____________.,I don't know,28,0,274,0.102,0,
The word ‘remote’ is closest in meaning to ____________.,small,45,0,274,0.164,0,
"The world's biggest coffee producers are located in the ""Bean Belt.""",between,56,0,445,0.126,0,in
"The world's biggest coffee producers are located in the ""Bean Belt.""",in,229,229,445,0.515,1,
"The world's biggest coffee producers are located in the ""Bean Belt.""",I don't know,79,0,445,0.178,0,
"The world's biggest coffee producers are located in the ""Bean Belt.""",over,45,0,445,0.101,0,
"The world's biggest coffee producers are located in the ""Bean Belt.""",under,36,0,445,0.081,0,
There needed to be less water in the fish tank for it to not splash all over the place.,few,25,0,218,0.115,0,less
There needed to be less water in the fish tank for it to not splash all over the place.,fewer,19,0,218,0.087,0,
There needed to be less water in the fish tank for it to not splash all over the place.,less,131,131,218,0.601,1,
There needed to be less water in the fish tank for it to not splash all over the place.,lesser,15,0,218,0.069,0,
There needed to be less water in the fish tank for it to not splash all over the place.,I don't know,28,0,218,0.128,0,
There needed to be less water in the pool for it to not overflow.,few,17,0,202,0.084,0,less
There needed to be less water in the pool for it to not overflow.,fewer,65,0,202,0.322,0,
There needed to be less water in the pool for it to not overflow.,less,83,83,202,0.411,1,
There needed to be less water in the pool for it to not overflow.,lesser,24,0,202,0.119,0,
There needed to be less water in the pool for it to not overflow.,I don't know,13,0,202,0.064,0,
"There was enough food for everyone at the party, so everyone left feeling full and satisfied.",a little,13,0,202,0.064,0,enough
"There was enough food for everyone at the party, so everyone left feeling full and satisfied.",any,26,0,202,0.129,0,
"There was enough food for everyone at the party, so everyone left feeling full and satisfied.",enough,123,123,202,0.609,1,
"There was enough food for everyone at the party, so everyone left feeling full and satisfied.",I don't know,7,0,202,0.035,0,
"There was enough food for everyone at the party, so everyone left feeling full and satisfied.",some,33,0,202,0.163,0,
There were fewer than 10 issues that were discussed at the summit.,I don't know,240,0,240,1,0,fewer
There were fewer than 15 people that showed up to the conference.,I don't know,274,0,274,1,0,fewer
There will always be a chord beyond your tiredness and frustration.,I don't know,22,0,240,0.092,0,tiredness
There will always be a chord beyond your tiredness and frustration.,tire,25,0,240,0.104,0,
There will always be a chord beyond your tiredness and frustration.,tired,47,0,240,0.196,0,
There will always be a chord beyond your tiredness and frustration.,tiredness,117,117,240,0.488,1,
There will always be a chord beyond your tiredness and frustration.,tiring,29,0,240,0.121,0,
"These arguments he discards for lack of evidence—but when it comes to slimming down the masses with junk-food engineering, Freedman's fine to cross his fingers and hope it all works out.",I don't know,240,0,240,1,0,down
They bought plates that were smaller than the plates they had before.,I don't know,12,0,274,0.044,0,smaller
They bought plates that were smaller than the plates they had before.,small,38,0,274,0.139,0,
They bought plates that were smaller than the plates they had before.,smaller,175,175,274,0.639,1,
They bought plates that were smaller than the plates they had before.,the smaller,15,0,274,0.055,0,
They bought plates that were smaller than the plates they had before.,the smallest,34,0,274,0.124,0,
"They didn't leave yet, did they?",did they,94,94,240,0.392,1,did they
"They didn't leave yet, did they?",didn't they,32,0,240,0.133,0,
"They didn't leave yet, did they?",I don't know,33,0,240,0.138,0,
"They didn't leave yet, did they?",they did,43,0,240,0.179,0,
"They didn't leave yet, did they?",they didn't,38,0,240,0.158,0,
"They have two children; one is four years old, and the other is two years old.",and,158,158,202,0.782,1,and
"They have two children; one is four years old, and the other is two years old.",for,20,0,202,0.099,0,
"They have two children; one is four years old, and the other is two years old.",I don't know,6,0,202,0.03,0,
"They have two children; one is four years old, and the other is two years old.",so,12,0,202,0.059,0,
"They have two children; one is four years old, and the other is two years old.",yet,6,0,202,0.03,0,
"This audio implies that a ""shared culture"" is __________.",I don't know,190,0,190,1,0,virtually nonexistent because copyright laws make it difficult to share content
"This drug has been studied significantly, but never in a clinical trial on humans.",has been studied,98,98,226,0.434,1,has been studied
"This drug has been studied significantly, but never in a clinical trial on humans.",has been studying,33,0,226,0.146,0,
"This drug has been studied significantly, but never in a clinical trial on humans.",is being studied,37,0,226,0.164,0,
"This drug has been studied significantly, but never in a clinical trial on humans.",I don't know,25,0,226,0.111,0,
"This drug has been studied significantly, but never in a clinical trial on humans.",was being studied,33,0,226,0.146,0,
This graduation speech would be great if the message were relevant to the students.,is,37,0,226,0.164,0,would be
This graduation speech would be great if the message were relevant to the students.,I don't know,29,0,226,0.128,0,
This graduation speech would be great if the message were relevant to the students.,will be,38,0,226,0.168,0,
This graduation speech would be great if the message were relevant to the students.,would be,71,71,226,0.314,1,
This graduation speech would be great if the message were relevant to the students.,would have been,51,0,226,0.226,0,
This haircut is terrible.,cut hair,33,0,218,0.151,0,haircut
This haircut is terrible.,cutting hair,13,0,218,0.06,0,
This haircut is terrible.,hair cutting,29,0,218,0.133,0,
This haircut is terrible.,haircut,132,132,218,0.606,1,
This haircut is terrible.,I don't know,11,0,218,0.05,0,
This hamburger is made from ____________.,University of Maastricht tissue paper,102,0,445,0.229,0,muscle-tissue cells
This hamburger is made from ____________.,meat,103,0,445,0.231,0,
This hamburger is made from ____________.,muscle-tissue cells,124,124,445,0.279,1,
This hamburger is made from ____________.,I don't know,80,0,445,0.18,0,
This hamburger is made from ____________.,tofu,36,0,445,0.081,0,
This is a great opportunity to sit down with friends to talk.,down,120,120,202,0.594,1,down
This is a great opportunity to sit down with friends to talk.,I don't know,9,0,202,0.045,0,
This is a great opportunity to sit down with friends to talk.,on,28,0,202,0.139,0,
This is a great opportunity to sit down with friends to talk.,over,18,0,202,0.089,0,
This is a great opportunity to sit down with friends to talk.,through,27,0,202,0.134,0,
This passage is a/an ____________.,advertisement for a South African company,31,0,202,0.153,0,job post looking for an analyst
This passage is a/an ____________.,job post looking for an analyst,102,102,202,0.505,1,
This passage is a/an ____________.,I don't know,19,0,202,0.094,0,
This passage is a/an ____________.,post looking for someone with a PhD,30,0,202,0.149,0,
This passage is a/an ____________.,post offering fiI don't knowcial services,20,0,202,0.099,0,
This passage is mainly about Netflix's ____________.,TV shows,37,0,274,0.135,0,success
This passage is mainly about Netflix's ____________.,chief executive officer,39,0,274,0.142,0,
This passage is mainly about Netflix's ____________.,failure,15,0,274,0.055,0,
This passage is mainly about Netflix's ____________.,I don't know,25,0,274,0.091,0,
This passage is mainly about Netflix's ____________.,success,158,158,274,0.577,1,
This passage is mainly about ____________.,Netflix's growing business,11,0,408,0.027,0,the growing popularity of Havaianas
This passage is mainly about ____________.,a partnership between Marriott and Netflix,163,163,408,0.4,1,
This passage is mainly about ____________.,a partnership between various hotel brands and Netflix,11,0,408,0.027,0,
This passage is mainly about ____________.,an easier way for Netflix subscribers to access content,11,0,408,0.027,0,
This passage is mainly about ____________.,different types of Brazilian exports,16,0,408,0.039,0,
This passage is mainly about ____________.,future plans to produce even more Havaianas,30,0,408,0.074,0,
This passage is mainly about ____________.,I don't know,47,0,408,0.115,0,
This passage is mainly about ____________.,the growing popularity of Havaianas,97,97,408,0.238,1,
This passage is mainly about ____________.,the wide gap between people who wear Havaianas,22,0,408,0.054,0,
This sunrise is beautiful.,I don't know,5,0,202,0.025,0,sunrise
This sunrise is beautiful.,sun rise,15,0,202,0.074,0,
This sunrise is beautiful.,sun risen,9,0,202,0.045,0,
This sunrise is beautiful.,sun rising,5,0,202,0.025,0,
This sunrise is beautiful.,sunrise,168,168,202,0.832,1,
"This week, luxury hotel brand the Four Seasons has followed suit, launching a new app that allows guests to make special requests, check in and check out, and seek out local recommendations.",launch,20,0,218,0.092,0,launching
"This week, luxury hotel brand the Four Seasons has followed suit, launching a new app that allows guests to make special requests, check in and check out, and seek out local recommendations.",launched,27,0,218,0.124,0,
"This week, luxury hotel brand the Four Seasons has followed suit, launching a new app that allows guests to make special requests, check in and check out, and seek out local recommendations.",launching,81,81,218,0.372,1,
"This week, luxury hotel brand the Four Seasons has followed suit, launching a new app that allows guests to make special requests, check in and check out, and seek out local recommendations.",I don't know,23,0,218,0.106,0,
"This week, luxury hotel brand the Four Seasons has followed suit, launching a new app that allows guests to make special requests, check in and check out, and seek out local recommendations.",to launch,67,0,218,0.307,0,
"To ""give ground"" means to __________.",be firm in your opinions,20,0,190,0.105,0,change your demands
"To ""give ground"" means to __________.",change your demands,70,70,190,0.368,1,
"To ""give ground"" means to __________.",give generously,31,0,190,0.163,0,
"To ""give ground"" means to __________.",I don't know,28,0,190,0.147,0,
"To ""give ground"" means to __________.",surrender everything you have,41,0,190,0.216,0,
"To add to the drama will be the presence in the parliament of so many populist parties, most of them anti-European.",I don't know,274,0,274,1,0,To add
"To open the conversation with such a vitriolic attack is clearly the politician's way of saying ""the gloves have come off.""",I don't know,218,0,218,1,0,To open
"To try to answer the question of whether gallery clusters actually jumpstart transformation, Schuetz looks at every city block in Manhattan to see if there is evidence of accelerated development in the years after an art gallery moved into a neighborhood.",I don't know,202,0,202,1,0,To try
"To whom is Obama referring when he says ""we""?",American citizens,35,0,190,0.184,0,Government leaders
"To whom is Obama referring when he says ""we""?",Government leaders,98,98,190,0.516,1,
"To whom is Obama referring when he says ""we""?",The president's family,17,0,190,0.089,0,
"To whom is Obama referring when he says ""we""?",Working Americans,16,0,190,0.084,0,
